Id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
27,Julián Álvarez,ar ARG,FW,Atlético Madrid,La Liga,24.0,2000,37,30,2509,27.9,17,4,21
28,Jarrod Bowen,eng ENG,"FW,MF",West Ham,Premier League,27.0,1996,34,34,2973,33.0,13,8,21
29,Matheus Cunha,br BRA,"MF,FW",Wolves,Premier League,25.0,1999,33,29,2597,28.9,15,6,21
30,Jonathan David,ca CAN,FW,Lille,Ligue 1,24.0,2000,32,28,2554,28.4,16,5,21
31,Ayoze Pérez,es ESP,FW,Villarreal,La Liga,31.0,1993,30,22,1970,21.9,19,2,21
32,Gaëtan Perrin,fr FRA,"MF,FW",Auxerre,Ligue 1,28.0,1996,34,31,2691,29.9,10,11,21
33,Patrik Schick,cz CZE,FW,Leverkusen,Bundesliga,28.0,1996,31,19,1684,18.7,21,0,21
34,Jonathan Burkardt,de GER,FW,Mainz 05,Bundesliga,24.0,2000,29,28,2109,23.4,18,2,20
35,Evann Guessand,ci CIV,"FW,MF",Nice,Ligue 1,23.0,2001,33,30,2565,28.5,12,8,20
36,Arnaud Kalimuendo,fr FRA,"FW,MF",Rennes,Ligue 1,22.0,2002,33,31,2578,28.6,17,3,20
37,Moise Kean,it ITA,FW,Fiorentina,Serie A,24.0,2000,31,30,2615,29.1,17,3,20
38,Ademola Lookman,ng NGA,"MF,FW",Atalanta,Serie A,26.0,1997,31,28,2247,25.0,15,5,20
39,Jacob Murphy,eng ENG,FW,Newcastle Utd,Premier League,29.0,1995,35,31,2360,26.2,8,12,20
40,Christian Pulisic,us USA,"FW,MF",Milan,Serie A,25.0,1998,34,29,2478,27.5,11,9,20
41,Mohamed Amoura,dz ALG,FW,Wolfsburg,Bundesliga,24.0,2000,31,29,2467,27.4,10,9,19
42,Rayan Cherki,fr FRA,"FW,MF",Lyon,Ligue 1,20.0,2003,30,22,2041,22.7,8,11,19
43,Vincenzo Grifo,it ITA,"FW,MF",Freiburg,Bundesliga,31.0,1993,34,31,2432,27.0,8,11,19
44,Vinicius Júnior,br BRA,FW,Real Madrid,La Liga,24.0,2000,30,24,2253,25.0,11,8,19
45,Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,Bundesliga,33.0,1991,32,32,2767,30.7,11,8,19
46,Riccardo Orsolini,it ITA,FW,Bologna,Serie A,27.0,1997,30,23,1878,20.9,15,4,19
47,Luis Díaz,co COL,FW,Liverpool,Premier League,27.0,1997,36,28,2399,26.7,13,5,18
48,Bruno Fernandes,pt POR,MF,Manchester Utd,Premier League,29.0,1994,36,35,3018,33.5,8,10,18
49,Justin Kluivert,nl NED,MF,Bournemouth,Premier League,25.0,1999,34,29,2340,26.0,12,6,18
50,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,Premier League,22.0,2002,37,37,3114,34.6,8,10,18
51,Benjamin Šeško,si SVN,"FW,MF",RB Leipzig,Bundesliga,21.0,2003,33,30,2380,26.4,13,5,18
52,Moses Simon,ng NGA,"FW,MF",Nantes,Ligue 1,29.0,1995,32,31,2609,29.0,8,10,18
53,Jørgen Strand Larsen,no NOR,FW,Wolves,Premier League,24.0,2000,35,30,2587,28.7,14,4,18
54,Marcus Thuram,fr FRA,FW,Inter,Serie A,26.0,1997,31,26,2200,24.4,14,4,18
55,Jude Bellingham,eng ENG,MF,Real Madrid,La Liga,21.0,2003,31,29,2488,27.6,9,8,17
56,Zuriko Davitashvili,ge GEO,"FW,MF",Saint-Étienne,Ligue 1,23.0,2001,33,32,2778,30.9,9,8,17
57,Ritsu Doan,jp JPN,"FW,MF",Freiburg,Bundesliga,26.0,1998,34,33,2862,31.8,10,7,17
58,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,Premier League,22.0,2002,38,31,2501,27.8,6,11,17
59,Emanuel Emegha,nl NED,FW,Strasbourg,Ligue 1,21.0,2003,27,27,2293,25.5,14,3,17
60,Isco,es ESP,MF,Betis,La Liga,32.0,1992,22,17,1547,17.2,9,8,17
61,Alexandre Lacazette,fr FRA,FW,Lyon,Ligue 1,33.0,1991,30,24,2051,22.8,15,2,17
62,Georges Mikautadze,ge GEO,FW,Lyon,Ligue 1,23.0,2000,34,13,1449,16.1,11,6,17
63,Alex Baena,es ESP,"MF,FW",Villarreal,La Liga,23.0,2001,32,30,2595,28.8,7,9,16
64,Ermedin Demirović,ba BIH,FW,Stuttgart,Bundesliga,26.0,1998,34,20,1855,20.6,15,1,16
65,Marvin Ducksch,de GER,FW,Werder Bremen,Bundesliga,30.0,1994,32,30,2418,26.9,8,8,16
66,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,Premier League,26.0,1998,34,31,2588,28.8,8,8,16
67,Son Heung-min,kr KOR,FW,Tottenham,Premier League,32.0,1992,30,24,2110,23.4,7,9,16
68,João Pedro,br BRA,"FW,MF",Brighton,Premier League,22.0,2001,27,23,1948,21.6,10,6,16
